Num;ID;Energy_kcal;Protein_g;Fat_g;Carb_g;Sugar_g;Fiber_g;VitA_mcg;VitB6_mg;VitB12_mcg;VitC_mg;VitE_mg;Folate_mcg;Niacin_mg;Riboflavin_mg;Thiamin_mg;Calcium_mg;Copper_mcg;Iron_mg;Magnesium_mg;Manganese_mg;Phosphorus_mg;Selenium_mcg;Zinc_mg;VitA_USRDA;VitB6_USRDA;VitB12_USRDA;VitC_USRDA;VitE_USRDA;Folate_USRDA;Niacin_USRDA;Riboflavin_USRDA;Thiamin_USRDA;Calcium_USRDA;Copper_USRDA;Magnesium_USRDA;Phosphorus_USRDA;Selenium_USRDA;Zinc_USRDA
2013;8476;395;6.3;2.14;87.6;37.4;2.9;1081;2.15;7.3;1.9;0.21;1787;21.7;2.04;1.87;14;0.167;7.86;31;0.603;101;10.8;7.43;120.111.111.111.111;126.470.588.235.294;304.166.666.666.667;0.0211111111111111;0.014;44.675;135.625;156.923.076.923.077;155.833.333.333.333;0.0116666666666667;0.000185555555555556;0.0738095238095238;0.144285714285714;0.196363636363636;0.675454545454545
155;1178;181;7;14.1;7;0.3;0;119;0.02;0.3;0.9;0.4;11;0.07;0.24;0.04;141;0.01;0.06;11;0;85;4.1;0.27;0.132222222222222;0.0117647058823529;0.125;0.01;0.0266666666666667;0.0275;0.004375;0.184615384615385;0.0333333333333333;0.1175;1,11E+09;0.0261904761904762;0.121428571428571;0.0745454545454545;0.0245454545454545
7489;23455;225;18.22;16.31;1.31;0;0;15;0.254;1.39;0;0.34;0;3.015;0.072;0.07;5;0.055;1.91;18;0.009;161;4.4;3.32;0.0166666666666667;0.149411764705882;0.579166666666667;0;0.0226666666666667;0;0.1884375;0.0553846153846154;0.0583333333333333;0.00416666666666667;6,11E+09;0.0428571428571429;0.23;0.08;0.301818181818182
5558;18050;239;9.5;3.8;49.2;4.2;14.3;0;0.087;0;0;0.33;115;4.032;0.217;0.338;68;0.147;3.75;55;1.006;144;24.5;1.19;0;0.0511764705882353;0;0;0.022;0.2875;0.252;0.166923076923077;0.281666666666667;0.0566666666666667;0.000163333333333333;0.130952380952381;0.205714285714286;0.445454545454545;0.108181818181818
2707;10222;147;26.04;3.96;0;0;0;0;0.735;0.57;0;0.08;0;7.402;0.385;0.944;6;0.111;1.15;29;0.013;265;38;2.41;0;0.432352941176471;0.2375;0;0.00533333333333333;0;0.462625;0.296153846153846;0.786666666666667;0.005;0.000123333333333333;0.0690476190476191;0.378571428571429;0.690909090909091;0.219090909090909
7149;23101;240;27.18;14.55;0;0;0;2;0.517;2.23;0;0.12;7;5.478;0.328;0.11;11;0.086;2.37;24;0.086;174;28.5;6.11;0.00222222222222222;0.304117647058824;0.929166666666667;0;0.008;0.0175;0.342375;0.252307692307692;0.0916666666666667;0.00916666666666667;9,56E+09;0.0571428571428571;0.248571428571429;0.518181818181818;0.555454545454546
6957;21500;224;12.7;8.3;24.6;2.3;3.9;0;0.1;0.4;4.8;0;0;0.3;0.1;0.1;182;0;1.3;18;0;115;0;0.7;0;0.0588235294117647;0.166666666666667;0.0533333333333333;0;0;0.01875;0.0769230769230769;0.0833333333333333;0.151666666666667;0;0.0428571428571429;0.164285714285714;0;0.0636363636363636
1961;8277;381;7.9;4.69;79.4;31.89;5;0;0.111;0;0.8;1.02;10;0.69;0.1;0.1;36;0.199;2;44;0;146;13;1.1;0;0.0652941176470588;0;0.00888888888888889;0.068;0.025;0.043125;0.0769230769230769;0.0833333333333333;0.03;0.000221111111111111;0.104761904761905;0.208571428571429;0.236363636363636;0.1
2600;10086;227;26.74;12.54;0;0;0;2;0.31;1.13;0.3;0.27;5;4.3;0.44;0.75;33;0.059;1.56;24;0.009;220;39.3;5.02;0.00222222222222222;0.182352941176471;0.470833333333333;0.00333333333333333;0.018;0.0125;0.26875;0.338461538461538;0.625;0.0275;6,56E+09;0.0571428571428571;0.314285714285714;0.714545454545454;0.456363636363636
8264;35227;93;18.1;1.7;1.4;0;0;0;0;0;0;0;0;0;0;0;9;0.875;7;16;0.131;301;274;2.9;0;0;0;0;0;0;0;0;0;0.0075;0.000972222222222222;0.0380952380952381;0.43;498.181.818.181.818;0.263636363636364
